# time (s), x(cm), y(cm)
36.85,60,67.7
36.91,60.1,67.7
36.98,60.1,67.6
37.04,60.2,67.6
37.1,60.4,67.6
37.16,60.4,67.6
37.23,60.4,67.6
37.29,60.3,67.5
37.35,60.2,67.5
37.42,60.2,67.4
37.48,60.2,67.2
37.54,60.2,67
37.6,60.2,66.9
37.67,60.1,66.8
37.73,60.1,66.8
37.8,60,66.9
37.86,60,66.8
37.92,60,66.9
37.99,60.1,66.9
38.05,60.1,66.8
38.11,60.1,66.8
38.17,60.1,66.7
38.24,60,66.8
38.3,60,66.8
38.36,59.9,66.7
38.43,59.8,66.7
38.49,59.8,66.5
38.55,59.7,66.5
38.62,59.7,66.3
38.68,59.3,66.3
38.74,59.2,66.3
38.81,59.1,66.4
38.87,58.9,66.4
38.93,58.8,66.3
38.99,58.7,66.4
39.06,58.5,66.3
39.12,58.4,66.2
39.18,58.3,66.2
39.25,58.3,66.1
39.31,58.1,66.1
39.37,57.8,66
39.43,57.7,65.9
39.5,57.6,65.9
39.56,57.3,66.1
39.62,57.1,66.4
39.69,57,66.5
39.75,57,66.5
39.81,57.1,66.1
39.88,57.1,65.7
39.94,57.1,65.8
40,56.9,66
40.06,56.9,66.1
40.13,56.9,66.1
40.19,56.8,66.2
40.25,56.7,66.2
40.32,56.6,66.1
40.38,56.5,66
40.44,56.4,65.9
40.57,56.4,66
40.63,56.4,66
40.69,56.2,66.6
40.75,56.4,66.2
40.81,56.6,65.9
40.88,56.5,65.9
40.94,56.4,65.8
41.01,56.3,65.8
41.07,56.3,65.8
41.13,56.3,65.8
41.19,56.3,65.7
41.26,56.2,65.6
41.32,56,65.4
41.38,56.1,65.3
41.44,56.1,65.2
41.51,56,65.1
41.57,56,65.3
41.63,56,65.1
41.69,56,64.9
41.76,56,64.8
41.82,56.2,64.6
41.88,56.2,64.6
41.88,56.2,64.8
42.01,56.1,65
42.07,56.3,64
42.13,56.1,64.9
42.2,56.1,64.8
42.26,56.1,64.9
42.32,56,64.9
42.39,56.1,64.7
42.45,56,64.7
42.51,56.1,64.9
42.57,57.1,61.7
42.64,56,64.8
42.7,56,64.9
42.76,56.3,63.6
42.82,56,64.7
42.89,56,64.7
42.95,56,64.8
43.01,56,65
43.08,55.9,64.8
43.14,55.8,64.6
43.2,55.6,64.2
43.26,55.4,64
43.32,55.4,64
43.39,55.2,63.7
43.45,55.1,63.4
43.51,55.1,63
43.57,55,62.5
43.63,55,62.3
43.7,54.7,62.3
43.76,54.7,62.2
43.82,54.6,62
43.89,54.4,61.9
43.95,54.2,61.6
44.01,54.1,61.6
44.08,53.6,61.8
44.14,53.2,61.9
44.2,53,62
44.27,53,62.1
44.33,53,62.2
44.39,52.9,62.4
44.46,52.9,62.5
44.52,52.9,62.6
44.58,52.9,62.7
44.64,53,63
44.71,53,63.1
44.77,53,63.1
44.83,52.9,63
44.89,52.9,63.1
44.96,52.8,63.2
45.02,52.8,63.2
45.08,52.8,63
45.15,52.8,63.1
45.21,52.7,63.1
45.27,52.7,63
45.34,52.6,63.1
45.4,52.6,63.2
45.46,52.5,63.2
45.52,52.6,63.3
45.59,52.6,63.3
45.65,52.7,63.3
45.71,52.7,63.3
45.77,52.7,63.2
45.84,52.7,63.3
45.9,52.7,63.3
45.96,52.7,63.4
46.03,52.7,63.4
46.09,52.7,63.4
46.15,52.6,63.5
46.21,52.7,63.5
46.28,52.6,63.6
46.34,52.6,63.6
46.4,52.6,63.6
46.47,52.6,63.6
46.53,52.5,63.5
46.59,52.5,63.6
46.65,52.5,63.7
46.72,52.5,63.8
46.78,52.4,63.8
46.85,52.3,63.8
46.91,52.1,63.9
46.97,52,63.8
47.03,51.9,63.7
47.1,52,63.9
47.16,52,64
47.22,51.9,64
47.29,51.9,64
47.35,51.8,64
47.41,51.7,63.9
47.47,51.4,64
47.54,51.4,64.1
47.6,51.5,64.2
47.66,51.5,64.3
47.73,51.4,64.5
47.79,51.5,64.8
47.85,51.1,65
47.92,51,64.9
47.98,51,65
48.04,51.2,64.8
48.11,51.7,65.5
48.17,51.5,65
48.29,51.5,65.1
48.36,50.7,65
48.42,51.2,65.1
48.48,51.3,65.1
48.55,51.4,65.1
48.61,50.5,65
48.67,51.5,64.9
48.73,51.5,64.9
48.8,51.6,65
48.86,51.6,65
48.92,50.3,65.3
48.99,51.6,65
49.05,51.6,65.1
49.11,51.7,65
49.18,51.9,64.6
49.24,52.2,64.3
49.3,51.4,64.7
49.37,52.4,64.3
49.43,52.5,64.3
49.49,52.5,64.4
49.49,52.6,64.1
49.62,52,64.2
49.62,52.8,63.8
49.7,52.6,63.7
49.76,52.7,63.7
49.82,52.7,63.7
49.89,52.7,63.6
49.95,52.6,63.6
50.01,52.6,63.6
50.08,52.5,63.6
50.14,52.6,63.3
50.2,52.6,63.2
50.26,52.7,63.2
50.33,52.7,63.3
50.39,52.6,63.3
50.45,52.5,63.3
50.51,52.5,63.3
50.64,52.5,63.2
50.64,52.5,63.2
50.71,52.5,63
50.78,52.5,62.9
50.84,52.5,62.7
50.9,52.5,62.6
50.97,52.5,62.4
51.03,52.4,62.5
51.09,52.3,62.5
51.21,52.3,62.4
51.34,52.3,62.2
51.4,52,62.5
51.47,52,62.2
51.53,52.1,62.2
51.59,51.9,62.1
51.65,51.8,62
51.71,51.8,61.7
51.78,51.7,61.6
51.84,51.7,61.5
